evento_nombre,evento_url,evento_descripcion,evento_lugar,municipio_nombre,evento_organizador,evento_fecha_inicio,evento_fecha_fin
Segunda jornada de Gimnasia Rítmica en los Juegos Cabildo,https://www.deportestenerife.es/evento/segunda-jornada-de-gimnasia-ritmica-en-los-juegos-cabildo/,"Segunda jornada de individuales de Gimnasia Rítmica en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> que tendrá lugar en el Pabellón Deportivo Las Torres de Adeje.",Pabellón Municipal de Deportes Las Torres,Adeje,Cabildo de Tenerife y Fundación DISA,2016-03-05 10:00:00,2016-03-05 13:30:00
Última jornada de Orientación Deportiva en los Juegos Cabildo,https://www.deportestenerife.es/evento/ultima-jornada-de-orientacion-deportiva-en-los-juegos-cabildo/,"Última jornada de Orientación Deportiva en la modalidad de carrera larga, en el marco de los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que se celebrará en el área de Las Lagunetas (El Rosario).",Las Lagunetas,El Rosario,Cabildo de Tenerife y Fundación DISA,2016-03-05 10:00:00,2016-03-05 13:00:00
Cuarta jornada de Tenis de Mesa en los Juegos Cabildo,https://www.deportestenerife.es/evento/cuarta-jornada-de-tenis-de-mesa-en-los-juegos-cabildo/,"Cuarta jornada de Tenis de Mesa en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> que se celebrará en el Pabellón Deportivo del IES de Punta Larga (Candelaria).",Pabellón IES Punta Larga,Candelaria,Cabildo de Tenerife y Fundación DISA,2016-03-05 10:00:00,2016-03-05 13:30:00
Decimosegunda jornada de Lucha Canaria en los Juegos Cabildo,https://www.deportestenerife.es/evento/decimosegunda-jornada-de-lucha-canaria-en-los-juegos-cabildo/,"Decimosegunda jornada de la Liga Insular de Lucha Canaria en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que se celebrará simultáneamente en diferentes pabellones de la Isla.",Tenerife,,Cabildo de Tenerife y Fundación DISA,2016-03-05 11:00:00,2016-03-05 13:00:00
Ocean Lava TriSantaCruz,https://www.deportestenerife.es/evento/ocean-lava-trisantacruz/,"Ocean Lava Planet llega a Santa Cruz de Tenerife. Un triatlón con identidad propia de la que ya disfrutan en 10 destinos turísticos diferentes por todo el mundo y que ahora se presenta en la capital tinerfeña con una doble propuesta: la Olímpica (1,5/40/10) y la Half Endurance Triatlón (1,9/90/21).",Playa de Las Teresitas,Santa Cruz de Tenerife,Ocean Lava,2016-03-06 08:30:00,2016-03-06 18:00:00
I Carrera Solidaria 8M Día Internacional de la Mujer,https://www.deportestenerife.es/evento/i-carrera-solidaria-8m-dia-internacional-de-la-mujer/,Una iniciativa de fuerte componente social que aprovecha la conmemoración del Día Internacional de la Mujer (8 de marzo) y en la que se nos invita a correr por una buena causa: la esclerosis múltiple.,Plaza de la Constitución,La Orotava,Ayuntamiento de la Villa de La Orotava,2016-03-06 10:00:00,2016-03-06 14:00:00
Primera jornada de Entrenamiento Funcional en los Juegos Máster,https://www.deportestenerife.es/evento/primera-jornada-de-entrenamiento-funcional-en-los-juegos-master/,"Primera jornada de Entrenamiento Funcional en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a> que se celebrará en el Parque de La Granja de Santa Cruz de Tenerife.",Parque de La Granja,Santa Cruz de Tenerife,Cabildo de Tenerife e IDECO,2016-03-12 09:30:00,2016-03-12 13:00:00
Decimoquinta jornada Liga Insular de Voleibol en Juegos Cabildo,https://www.deportestenerife.es/evento/decimoquinta-jornada-liga-insular-de-voleibol-en-juegos-cabildo/,"Decimoquinta jornada de la Liga Insular de Voleibol y séptima de Promoción en el marco de los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>. Las pruebas se desarrollarán a lo largo de la jornada en diferentes pabellones de la Isla de Tenerife.",Tenerife,,Cabildo de Tenerife y Fundación DISA,2016-03-12 09:30:00,2016-03-12 13:30:00
Decimotercera jornada de la Liga Insular de Balonmano en los Juegos Cabildo,https://www.deportestenerife.es/evento/decimotercera-jornada-de-la-liga-insular-de-balonmano-en-los-juegos-cabildo/,"Decimotercera jornada de la Liga Insular de Balonmano y Liga Zonal Laguna-Tegueste en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que tendrán lugar a lo largo de la mañana del sábado en diferentes pabellones de la Isla de Tenerife.",Tenerife,,Cabildo de Tenerife y Fundación DISA,2016-03-12 09:30:00,2016-03-12 13:30:00
Quinta jornada de Fútbol Sala en los Juegos Cabildo,https://www.deportestenerife.es/evento/quinta-jornada-de-futbol-sala-en-los-juegos-cabildo/,"Quinta jornada de Fútbol Sala en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que se desarrollará simultáneamente en diferentes pabellones de la geografía insular.",Tenerife,,Cabildo de Tenerife y Fundación DISA,2016-03-12 09:30:00,2016-03-12 13:30:00
Primera jornada de Ajedrez por equipos en los Juegos Cabildo,https://www.deportestenerife.es/evento/primera-jornada-de-ajedrez-por-equipos-en-los-juegos-cabildo/,"Primera jornada de Ajedrez por equipos en las categorías de infantil y cadete en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>. La competición se celebrará en el Centro Cultural La Ferretería en San Agustín (Los Realejos).",Espacio Cultural La Ferretería,Los Realejos,Cabildo de Tenerife y Fundación DISA,2016-03-12 09:30:00,2016-03-12 13:30:00
Segunda jornada de Natación Sincronizada en los Juegos Cabildo,https://www.deportestenerife.es/evento/segunda-jornada-de-natacion-sincronizada-en-los-juegos-cabildo/,"Segunda jornada de Natación Sincronizada en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que se celebrará en las instalaciones del Colegio Pureza de María en el municipio de Los Realejos.",Colegio Pureza de María,Los Realejos,Cabildo de Tenerife y Fundación DISA,2016-03-12 10:00:00,2016-03-12 13:00:00
Segunda jornada de Bola Canaria en los Juegos Cabildo,https://www.deportestenerife.es/evento/segunda-jornada-de-bola-canaria-en-los-juegos-cabildo/,"Segunda jornada de Bola Canaria en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que se celebrará en el campo de bochas de la Asociación de Vecinos Tabajoste de Los Baldíos (San Cristóbal de La Laguna).",Fotos,,Cabildo de Tenerife y Fundación DISA,2016-03-12 10:00:00,2016-03-12 13:00:00
Primera jornada de Atletismo Zona Norte de los Juegos Cabildo,https://www.deportestenerife.es/evento/primera-jornada-de-atletismo-zona-norte-de-los-juegos-cabildo/,"Primera jornada de Atletismo Zona Norte de los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que fue aplazada por la lluvia el pasado mes de febrero. La competición se celebrará en el Estadio Francisco Peraza de La Laguna.",Estadio Francisco Peraza,La Laguna,Cabildo de Tenerife y Fundación DISA,2016-03-12 10:00:00,2016-03-12 13:00:00
Decimotercera jornada de Lucha Canaria en los Juegos Cabildo,https://www.deportestenerife.es/evento/decimotercera-jornada-de-lucha-canaria-en-los-juegos-cabildo/,"Decimotercera jornada de Lucha Canaria zonas Norte y Sur en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>. Las competiciones se celebrarán simultáneamente en diferentes terreros de lucha de la geografía insular.",Tenerife,,Cabildo de Tenerife y Fundación DISA,2016-03-12 11:00:00,2016-03-12 13:00:00
Segunda jornada de Bola Canaria en los Juegos Máster,https://www.deportestenerife.es/evento/segunda-jornada-de-bola-canaria-en-los-juegos-master/,"Segunda jornada de Bola Canaria en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a>. Las pruebas se celebrarán en el campo de bochas de la Asociación de Vecinos Tabajoste de Los Baldíos (San Cristóbal de La Laguna).",Fotos,,Cabildo de Tenerife e IDECO,2016-03-12 16:30:00,2016-03-12 19:00:00
Segunda jornada de Natación en los Juegos Máster,https://www.deportestenerife.es/evento/segunda-jornada-de-natacion-en-los-juegos-master/,"Segunda jornada de Natación en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a> que tendrá lugar en el Nexsport Club El Galeón (Adeje).",Nexsport Club El Galeón,Adeje,Cabildo de Tenerife e IDECO,2016-03-12 16:30:00,2016-03-12 19:00:00
XXXI Cross Popular San José,https://www.deportestenerife.es/evento/xxxi-cross-popular-san-jose/,"Una carrera popular que alcanza este año su trigesimoprimera edición con la participación de más de 300 atletas de todas las categorías, en una de las pruebas atléticas más antiguas de la Isla.",Calle Rafael Ramos,El Sauzal,Asociación de Vecinos Aicá Maragá,2016-03-13 09:00:00,2016-03-13 14:00:00
Segunda jornada de Atletismo en los Juegos Máster,https://www.deportestenerife.es/evento/segunda-jornada-de-atletismo-en-los-juegos-master/,"Segunda jornada de Atletismo en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a> que tendrá lugar en el Estadio Antonio Domínguez de Arona.",,,Cabildo de Tenerife e IDECO,2016-03-13 10:30:00,2016-03-13 13:00:00
Decimosegunda jornada de Fútbol Sala adaptado en La Laguna,https://www.deportestenerife.es/evento/decimosegunda-jornada-de-futbol-sala-adaptado-en-la-laguna/,"Decimosegunda jornada de Deporte Adaptado en la modalidad de fútbol sala, en el marco de los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>. La cita tendrá lugar en el Pabellón Alberto Delgado de La Laguna y congregará a los representantes de los siguientes centros y asociaciones: Acamán, Aspronte, E.M. Güímar, Funcasor, IES Garachico, Horizonte, Icod de los Vinos, IES Pérez Minik, La Victoria, Orobal, Prominsur, Valle Colino y Verodes.",Pabellón de Deportes Alberto Delgado,La Laguna,Cabildo de Tenerife y Fundación DISA,2016-03-16 10:00:00,2016-03-16 12:00:00
