actividad_id,actividad_nombre,actividad_descripcion,actividad_tipo,infraestructura,latitud,longitud,permite_caravana,pernocta,actividad_para_grupos,maximo_personas,minimo_noches,maximo_noches,maximo_dias_antelacion,dias_disponible
42,Estancia de grupos organizados en el área recreativa Las Lajas (Adeje),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa Las Lajas (Adeje),,,False,False,True,380,0,0,90,"L,M,X,J,V,"
43,Estancia de grupos organizados en el área recreativa Las Raíces (El Rosario),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa Las Raíces (El Rosario),28.420299530029297,-16.37739372253418,False,False,True,540,0,0,90,"L,M,X,J,V,"
44,Estancia de grupos organizados en el área recreativa Llano de los Viejos (La Laguna),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa Llano de los Viejos (La Laguna),28.52670669555664,-16.285343170166016,False,False,True,108,0,0,90,"L,M,X,J,V,"
45,Estancia de grupos organizados en el área recreativa de Lomo La Jara (Tacoronte),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa Lomo La Jara (Tacoronte),28.456178665161133,-16.403202056884766,False,False,True,320,0,0,90,"L,M,X,J,V,"
46,Estancia de grupos organizados en el área recreativa Los Frailes (Arafo),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa Los Frailes (Arafo),28.35450553894043,-16.439672470092773,False,False,True,380,0,0,90,"L,M,X,J,V,"
47,Estancia de grupos organizados en el área recreativa Los Pedregales (Buenavista del Norte),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área Recreativa Los Pedregales (Buenavista del Norte),28.34198570251465,-16.85671615600586,False,False,True,160,0,0,90,"L,M,X,J,V,"
48,Estancia de grupos organizados en el área recreativa Ramón el Caminero,"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa Ramón  el Caminero (La Orotava),,,False,False,True,480,0,0,90,"L,M,X,J,V,"
49,Estancia de grupos organizados en el área recreativa San José de Los Llanos,"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa San José de Los Llanos (El Tanque),,,False,False,True,340,0,0,90,"L,M,X,J,V,"
55,"Estancia y Pernocta en Zona de Acampada de El Contador, Arico","Estancia y Pernocta en Zona de Acampada de El Contador, Arico",Acampada,Zona de Acampada El Contador,,,False,True,False,15,0,7,15,"L,M,X,J,V,S,D"
56,Estancia y pernocta en zona de autocaravanas de Chío,"Zona para acampar con autocaravana o vehículos asimilados.  Se reserva para un vehículo, indicando la matrícula.  Pueden pernoctar en el mismo las personas que acompañen al solicitante.",Acampada,Zona de Autocaravanas de Chío,,,True,True,False,1,1,7,15,"L,M,X,J,V,S,D"
56,Estancia y pernocta en zona de autocaravanas de Chío,"Zona para acampar con autocaravana o vehículos asimilados.  Se reserva para un vehículo, indicando la matrícula.  Pueden pernoctar en el mismo las personas que acompañen al solicitante.",Acampada,Zona de Autocaravanas de Chío,,,True,True,False,1,1,7,15,"S,D"
57,Visita de grupos organizados a la Reserva Natural Especial del Malpaís de Güímar,"La actividad consiste en visitas de carácter recreativo o educativo a la Reserva Natural del Malpaís de Güímar de grupos organizados por centros educativos, entidades asociativas o empresas.",Senderismo,Malpaís de Güímar,,,False,False,True,15,0,0,15,"L,M,X,J,V,S,D"
